"auth-id","course","url","category","type","spring","winter","year-odigos2013","year-odigos2015","odigos13","odigos15"
,"Ξένη Γλώσσα (Αγγλική) ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=17","μαθήματα","θεωρητικά","spring",,"Α",,"odigos2013",
,"Ξένη Γλώσσα (Αγγλική) I","http://www.phed.auth.gr/etefaa/course/view.php?id=20","μαθήματα","θεωρητικά",,"winter","Α",,"odigos2013",
,"Οργάνωση και Διοίκηση του Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=10","μαθήματα","θεωρητικά",,,"Β","Β","odigos2013","odigos2015"
,"Παιδαγωγική της Φυσικής Αγωγής και του Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=11","μαθήματα","θεωρητικά",,,"Β","Α","odigos2013","odigos2015"
,"Παιδαγωγική Ψυχολογία ",,"μαθήματα","θεωρητικά",,,,"Β",,"odigos2015"
,"Περιγραφική Ανατομική του Ανθρώπου","http://www.phed.auth.gr/etefaa/course/view.php?id=4","μαθήματα","θεωρητικά",,,"Α","Α","odigos2013","odigos2015"
,"Προπονητική παιδικής & εφηβικής ηλικίας (ΔΜ)","http://www.phed.auth.gr/etefaa/course/view.php?id=8","μαθήματα","θεωρητικά",,,"Α",,"odigos2013",
,"Υγιεινή και Διατροφή Αθλουμένων","http://www.phed.auth.gr/etefaa/course/view.php?id=14","μαθήματα","θεωρητικά",,,"Α",,"odigos2013",
,"Φιλοσοφία Φυσικής Αγωγής & Αθλητισμού - Ολυμπιακή Παιδεία","http://www.phed.auth.gr/etefaa/course/view.php?id=13","μαθήματα","θεωρητικά",,,"Α",,"odigos2013",
,"Φυσικοθεραπεία Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=22","μαθήματα","εφαρμογής",,"winter","Δ","Δ","odigos2013","odigos2015"
,"Φυσικοθεραπεία ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=21","μαθήματα","εφαρμογής","spring",,"Δ","Δ","odigos2013","odigos2015"
,"Φυσιολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=19","μαθήματα","θεωρητικά",,,"Α","Α","odigos2013","odigos2015"
,"Eιδικότητα Αθλητικές Δραστηριότητες Κλειστού Χώρου","http://www.phed.auth.gr/etefaa/course/view.php?id=140","ειδικότητα","φυσική δραστηριότητα",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Αντιπτέριση","http://www.phed.auth.gr/etefaa/course/view.php?id=117","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Αντισφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=137","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Άρση Βαρών","http://www.phed.auth.gr/etefaa/course/view.php?id=136","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ειδική Φυσική Αγωγή - Θεραπευτική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=138","ειδικότητα","φυσική δραστηριότητα",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ελληνικοί Παραδοσιακοί Χοροί","http://www.phed.auth.gr/etefaa/course/view.php?id=139","ειδικότητα","φυσική δραστηριότητα",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ενόργανη Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=135","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ιστιοπλοΐα","http://www.phed.auth.gr/etefaa/course/view.php?id=134","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Καλαθοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=133","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Κλασικός Αθλητισμός - Α εξάμηνο","http://www.phed.auth.gr/etefaa/course/view.php?id=132","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Κλασικός Αθλητισμός - Β εξάμηνο","http://www.phed.auth.gr/etefaa/course/view.php?id=179","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Κολύμβηση","http://www.phed.auth.gr/etefaa/course/view.php?id=131","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Κωπηλασία","http://www.phed.auth.gr/etefaa/course/view.php?id=130","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Μαχητικά Αθλήματα - Αυτοάμυνα","http://www.phed.auth.gr/etefaa/course/view.php?id=175","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ναυαγοσωστική","http://www.phed.auth.gr/etefaa/course/view.php?id=118","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Πάλη","http://www.phed.auth.gr/etefaa/course/view.php?id=129","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Πετοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=128","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ποδηλασία","http://www.phed.auth.gr/etefaa/course/view.php?id=119","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ποδόσφαιρο","http://www.phed.auth.gr/etefaa/course/view.php?id=127","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Πυγμαχία","http://www.phed.auth.gr/etefaa/course/view.php?id=126","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ρυθμική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=125","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Ταεκβοντό","http://www.phed.auth.gr/etefaa/course/view.php?id=124","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Τζούντο","http://www.phed.auth.gr/etefaa/course/view.php?id=123","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Υδατοσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=122","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Υπαίθριες Αθλητικές Δραστηριότητες","http://www.phed.auth.gr/etefaa/course/view.php?id=141","ειδικότητα","φυσική δραστηριότητα",,,"Δ","Δ","odigos2013","odigos2015"
,"Eιδικότητα Χειμερινά Αθλήματα - Χιονοδρομία","http://www.phed.auth.gr/etefaa/course/view.php?id=121","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
,"EιδικότηταΧειροσφαίριση","http://www.phed.auth.gr/etefaa/course/view.php?id=120","ειδικότητα","αγωνιστικός αθλητισμός",,,"Δ","Δ","odigos2013","odigos2015"
