"id-winter","winter","id-spring","spring","auth-id","course","rensponsible","day","day_for_order","time_spring_16","time_winter_15","classroom","place","team","team_for_order","teacher","url","team-description"
"SW04A005","winter",,,"64","Εργοφυσιολογική Αξιολόγηση της Αθλητικής Απόδοσης","Βαμβακούδης","Δευτέρα","1",,"18.30-20.00","ΤΑΞΥΠ 4","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=55","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
,,"SA04B005","spring","ΕΠ0164","Λαογραφία – Πολιτισμός","Βαβρίτσας","Δευτέρα","1","18.30-20.00",,"ΤΑΞΥΠ 3","ΑΠΘ","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=162","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW04B004","winter",,,"12","Μουσική - Ρυθμολογία","Βαβρίτσας ","Δευτέρα","1",,"18.30-20.00","ΤΑΞΥΠ 3","ΑΠΘ","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=163","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW060003","winter","SA060003","spring","29","Αντισφαίριση","Γρούιος","Παρασκευή","5","12.30-14.00","12.30-14.00","Γήπεδα  Θέρμης","Θέρμη","6","7","Μαβίδης Σδούκος","http://www.phed.auth.gr/etefaa/course/view.php?id=111","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA060005","spring","ΕΠ0239","Εισαγωγή στη Χρήση Υ/Π","Τσορμπατζούδης","Παρασκευή","5","12.30-14.00",,"Αίθουσα Συνεδριάσεων Θέρμης","Θέρμη","6","7","Αρδαμερινός    ",,"ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060020","winter",,,,"Ρυθμική Γυμναστική Επιδείξεων","Γιανιτσοπούλου","Παρασκευή","5",,"12.30-14.00","Αλεξάνδρειο","ΑΠΘ","6","7","Γιανιτσοπούλου ",,"ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060022","winter",,,,"Ταεκβοντό","Ζαγγελίδης ","Παρασκευή","5",,"12.30-14.00","Παν/κό  Γυμν. Αίθουσα 45 ","ΑΠΘ","6","7","Μπέης","http://www.phed.auth.gr/etefaa/course/view.php?id=87","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA060015","spring","7","Τρίαθλο","Λούπος","Παρασκευή","5","12.30-14.00",,"Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Κώστας","http://www.phed.auth.gr/etefaa/course/view.php?id=83","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW04B003","winter","SA04B004","spring","56","Ειδική Φυσική Αγωγή και Ορθοσωματική  Γυμναστική","Γιαγκουδάκη","Παρασκευή","5","16.45-18.15","16.45-18.15","ΤΑΞΥΠ 1 ","ΑΠΘ","4B","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=159","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"SW030004","winter","SA030004","spring","ΕΠ0122","Βιοχημεία της Άσκησης","Κουτλιάνος","Πέμπτη","4","15.00-16.30","15.00-16.30","Αίθουσα 1","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=46","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW030005","winter","SA030005","spring","24","Ειδικά Θέματα Ολυμπιακών Αγώνων","Καϊμακάμης","Πέμπτη","4","15.00-16.30","15.00-16.30","Νησίδα","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=35","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
,,"SA030011","spring","ΕΠ0160","Νέες Τεχνολογίες στον Αθλητισμό","Κόλλιας","Πέμπτη","4","18.30-20.00",,"Αμφιθέατρο","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=40","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW050001","winter","SA04B008","spring","ΕΠ0140","Αθλητική Αναψυχή σε Τουριστικά Κέντρα","Αλεξανδρής","Πέμπτη","4","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 2 ","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=75","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
