"id-winter","winter","id-spring","spring","auth-id","course","rensponsible","day","day_for_order","time_spring_16","time_winter_15","classroom","place","team","team_for_order","teacher","url","team-description"
,,"SA030012","spring","ΕΠ0152","Προσαρμοσμένη Φυσική Δραστηριότητα","Τσιμάρας","Τρίτη","2","18.30-20.00",,"Αμφιθέατρο","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=38","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW030008","winter","SA030013","spring","42","Πρώτες βοήθειες – Παθολογία Αθλουμένων","Κουϊδή","Τρίτη","2","16.45-18.15","16.45-18.15","ΤΑΞΥΠ 4","ΑΠΘ","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=37","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW050003","winter","SA04B010","spring","ΕΠ0192","Ειδικά Θέματα Ολυμπιακής Παιδείας - Οικολογίας","Καϊμακάμης","Τρίτη","2","18.30-20.00","18.30-20.00","Αίθουσα 1","Θέρμη","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=178","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050006","winter","SA04B013","spring","ΕΠΟ167","Θεραπευτικές Εφαρμογές της Άσκησης","Μαμελετζή","Τρίτη","2","16.45-18.15","16.45-18.15","ΤΑΞΥΠ 1 ","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=70","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW050009","winter","SA04B015","spring","ΕΠ0169","Παχυσαρκία και Φυσική Δραστηριότητα","Μαυροβουνιώτης","Τρίτη","2","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=168","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
,,"SA04B018","spring","ΕΠ0191","Ψυχολογία Φυσικής Αγωγής και Φυσικής Δραστηριότητας","Μπαρκούκης","Τρίτη","2","16.45-18.15",,"ΤΑΞΥΠ 2","ΑΠΘ","5","6",,"http://www.phed.auth.gr/etefaa/course/view.php?id=177","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"SW060006","winter","SA060005","spring","ΕΠ0142","Ειδικές Εφαρμογές της Αθλητικής Φυσικοθεραπείας","Συκαράς","Τρίτη","2","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 3 ","ΑΠΘ","6","7","Συκαράς","http://www.phed.auth.gr/etefaa/course/view.php?id=174","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060011","winter","SA060007","spring","59","Καταδύσεις","Αλεξίου","Τρίτη","2","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=102","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060018","winter","SA060012","spring","6","Πετοσφαίριση Παραλίας","Γιάτσης","Τρίτη","2","12.30-14.00","12.30-14.00","Ε.Γ.   Μίκρας","Μίκρα","6","7","Γιάτσης","http://www.phed.auth.gr/etefaa/course/view.php?id=92","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060024","winter","SA060013","spring","37","Τζούντο","Τσορμπατζούδης","Τρίτη","2","12.30-14.00","12.30-14.00","Παν/κό  Γυμν. Αίθουσα 45 ","ΑΠΘ","6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=85","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060027","winter","SA060016","spring","3","Υδρογυμναστική – Υδροαεροβική","Αλεξίου","Τρίτη","2","12.30-14.00","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ","6","7","Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=81","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW04A001","winter","SA04A001","spring","02Α","Απόδοση σε Διαφορετικές Περιβαλλοντικές Συνθήκες","Χριστούλας ","Τρίτη","2","12.30-14.00","12.30-14.00","ΤΑΞΥΠ 2 ","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=58","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A002","winter","SA04A002","spring","58","Βιοκινητική Αξιολόγηση της Αθλητικής Απόδοσης ","Κόλλιας","Τρίτη","2","18.30-20.00","18.30-20.00","Εργαστήριο Βιοκινητικής","Θέρμη","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=57","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"SW04A006","winter","SA04A004","spring","87","Ετήσιος Σχεδιασμός Αθλητικής Προπόνησης","Κέλλης,Μάνου ","Τρίτη","2","12.30-14.00","12.30-14.00","ΤΑΞΥΠ 1","ΑΠΘ","4A","4",,"http://www.phed.auth.gr/etefaa/course/view.php?id=157","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
