"auth-id","title","rensponsible","day","time","classroom","place","team","teacher","url","semester","team-description"
" ΕΠ0149","Προπονητική Ομαδικών Αθλημάτων","Γαλαζούλας","Πέμπτη","15.00-16.30","ΤΑΞΥΠ 2","ΑΠΘ","4A",,"http://www.phed.auth.gr/etefaa/course/view.php?id=51","autumn","ομάδα 4A - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Αγωνιστικός Αθλητισμός"
"ΕΠ0164","Λαογραφία – Πολιτισμός","Βαβρίτσας","Δευτέρα","18.30-20.00","ΤΑΞΥΠ 3","ΑΠΘ","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=162","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"ΕΠ0125","Παραολυμπιακά Αθλήματα ","Τσιμάρας","Τετάρτη","16.45-18.15","Αμφιθέατρο","Θέρμης","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=60","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"ΕΠΟ124","Άσκηση και Αισθητηριακές Διαταραχές","Φωτιάδου","Πέμπτη","15.00-16.30","Αίθουσα  Αθλητικών Κακώσεων & Φυσικοθεραπείας","Θέρμης","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=158","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"ΕΠ0154","Άσκηση Ατόμων με Χρόνιες Παθήσεις","Κουϊδη","Πέμπτη","16.45-18.15","ΤΑΞΥΠ 4 ","ΑΠΘ","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=63","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"ΕΠ0163","Ειδικά Θέματα Τρίτης Ηλικίας","Μαυροβουνιώτης","Πέμπτη","18.30-20.00","ΤΑΞΥΠ 1","ΑΠΘ","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=62","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"056","Ειδική Φυσική Αγωγή και Ορθοσωματική  Γυμναστική","Γιαγκουδάκη","Παρασκευή","16.45-18.15","ΤΑΞΥΠ 1 ","ΑΠΘ","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=159","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"004","Οργάνωση και Λειτουργία ΑθλητικώνΑκαδημιών και Camps","Παπαδόπουλος","Πέμπτη","15.00-16.30","Αίθουσα Τένις","Θέρμης","4B",,"http://www.phed.auth.gr/etefaa/course/view.php?id=61","autumn","ομάδα 4B - Μαθήματα Υποχρεωτικής Επιλογής Κατεύθυνσης Φυσική Δραστηριότητα και Υγεία"
"ΕΠ0222","Ειδικά Θέματα Ολυμπιακών Αγώνων και Ολυμπιακής Αγωγής","Καϊμακάμης","Δευτέρα","18.30-20.00","Αμφιθέατρο","Θέρμης","5",,,"autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
"ΕΠΟ167","Θεραπευτικές Εφαρμογές της Άσκησης","Μαμελετζή","Τρίτη","16.45-18.15","ΤΑΞΥΠ 1 ","ΑΠΘ","5",,"http://www.phed.auth.gr/etefaa/course/view.php?id=70","autumn","ομάδα 5 - Θεωρητικά Μαθήματα Ελεύθερης Επιλογής"
